,Foreign,Foreign,,,,,,,,,,,,Gross,Gross,,,,,,,of Dollar-,,,,,,,Change,,,
,Purch.,Sales,,,,,,,,,,,,Foreign,Foreign,,,,,,Net,denom.,,,,Other,,,in Banks',,,
,of,of,Domes.,,Private,Private,,,,Official,Official,,,Purch.,Sales,Foreign,,,Net,Other,Foreign,S-T U.S. ,,,,Negot.,,,Own ,,,
Rows in,Domes.,Domes.,L-T,,Treas,Gov't,Private,,,Treas,Gov't,Official,,Foreign,Foreign,L-T,Foreign,Foreign,L-T,Acquis.,Acquis.,Secur.&,,,,Instr.&,,,Net,Monthly,,
monthly,U.S.,U.S.,"Secur.,",,Bonds&,Agency,Corp,Private,,Bonds&,Agency,Corp,Official,L-T,L-T,"Secur.,",Bonds,Equity,"Secur.,",L-T,of,Other,U.S.,,,Select.,,,Dollar-,Net ,,
press,L-T,L-T,"Purch.,","Private,","Notes,","Bonds,","Bonds,","Equity,","Official,","Notes,","Bonds,","Bonds,","Equity,",Secur.,Secur.,"Purch.,","Purch.,","Purch.,",Transac.,"Secur.,",L-T,Custody,Treas.,"Private,","Official,",Other,"Private,","Official,",denom.,TIC,"Private,","Official,"
release,Secur.,Secur.,net,net,net,net,net,Net,net,net,net,net,Net,from US,to US,net,net,net,,net,Secur.,Liabs.,"Bills,",net,net,"Liabs,",net,net,Liabs.,Flows,net,net
table -->,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------
2020-Apr,3765180,3925767,-160587,-115366,-141175,12138,9128,4543,-45221,-46386,9005,2180,-10020,1948314,1922616,25698,9223,16475,-134889,-32073,-166962,214264,151692,103900,47792,62572,61143,1429,83903,131205,135188,-3983
2020-Mar,6376369,6618293,-241924,-212471,-249590,38721,-772,-830,-29453,-61203,22767,5686,3297,2433028,2319206,113822,113019,803,-128102,-21079,-149181,-9622,-7945,14913,-22858,-1677,5063,-6740,473842,315039,321085,-6047
2020-Feb,4134624,4100654,33970,13082,5515,17966,-21600,11201,20888,-2374,21463,1317,482,1487830,1475477,12353,9196,3157,46323,-24187,22136,15235,31705,20445,11260,-16470,-18901,2431,-50921,-13550,-13300,-250
2020-Jan,3897648,3863746,33902,32560,46079,14762,-31234,2953,1342,-18678,17500,-319,2839,1698261,1710683,-12422,7495,-19917,21480,-24309,-2829,2455,-10308,-36561,26253,12763,2228,10535,121602,121228,91848,29380
2019-Dec,3597829,3531734,66095,71148,48742,11414,-16834,27826,-5053,-6529,4468,-1326,-1666,1334026,1310395,23631,20380,3251,89726,-24734,64992,17922,-11859,-6816,-5043,29781,29737,44,-19160,63754,118816,-55062
2019-Nov,3406266,3398207,8059,16795,-15721,12922,10209,9385,-8736,-23876,15389,615,-864,1591507,1572433,19074,12966,6108,27133,-26366,767,8861,-16118,-1643,-14475,24979,26568,-1589,65032,74660,106077,-31418
2019-Oct,3377952,3373647,4305,32944,24772,20063,-5582,-6309,-28639,-41530,11826,-1005,2070,1673683,1641589,32094,24781,7313,36399,-27020,9379,-20502,-19154,-16411,-2743,-1348,-3043,1695,-54146,-65269,-17047,-48222
2019-Sep,3557398,3547689,9709,50566,12798,19235,13691,4842,-40857,-52827,6785,1202,3983,1742390,1702990,39400,25001,14399,49109,-27190,21919,11268,11730,16104,-4374,-462,-207,-255,-56374,-23187,25841,-49029
2019-Aug,3750243,3800096,-49853,-5980,12138,27295,-21964,-23449,-43873,-50530,3208,987,2462,1534313,1533450,863,-5448,6311,-48990,-24020,-73010,37623,31122,21748,9374,6501,6681,-180,53508,18121,71334,-53213
2019-Jul,3364837,3296896,67941,80343,38766,23603,-1370,19344,-12402,-31915,16041,-1385,4857,1690569,1678622,11947,13903,-1956,79888,-21043,58845,9761,12517,14001,-1484,-2756,-693,-2063,-8755,59851,80836,-20985
2019-Jun,3510363,3447125,63238,62705,4683,25530,9941,22551,533,-14605,12010,-678,3806,1566488,1531533,34955,13342,21613,98193,-18807,79386,-13292,-20669,-9999,-10670,7377,7200,177,-55598,10496,17335,-6839
2019-May,3653150,3656732,-3582,12117,-9789,12154,13795,-4043,-15699,-21848,2719,832,2598,1516310,1506961,9349,11003,-1654,5767,-17314,-11547,285,-7288,2576,-9864,7573,10098,-2525,66905,55643,96771,-41128
2019-Apr,3081412,3053703,27709,48425,39425,14670,-5016,-654,-20716,-31029,10635,51,-373,1463268,1452776,10492,10730,-238,38201,-5866,32335,-31254,-29665,-19007,-10658,-1589,-8,-1581,-319,762,5516,-4754
